event_name,from_state,to_state,tsd,ted,ctd,ro_start_date,ro_end_date,se_name
RENTAL_PRODUCT_OVERDUE_FOR_RENEWAL,ACTIVE,RENEWAL_OVERDUE,2023-02-12,2023-03-11,2023-03-11,2023-03-12,2023-04-11,ORDER_READS_SYNC
RENTAL_PRODUCT_OVERDUE_FOR_RENEWAL,ACTIVE,RENEWAL_OVERDUE,2023-02-12,2023-03-11,2023-03-11,2023-03-12,2023-04-11,PRODUCT_READS_SYNC
RENTAL_PRODUCT_OVERDUE_FOR_RENEWAL,ACTIVE,RENEWAL_OVERDUE,2023-02-12,2023-03-11,2023-03-11,2023-03-12,2023-04-11,CART_CHECKOUT_READS_SYNC
RENEWAL_ORDERED,RENEWAL_OVERDUE,AWAITING_RENEWAL_PAYMENT,2023-02-12,2023-03-11,2023-03-11,2023-03-12,2023-04-11,ORDER_READS_SYNC
RENEWAL_ORDERED,RENEWAL_OVERDUE,AWAITING_RENEWAL_PAYMENT,2023-02-12,2023-03-11,2023-03-11,2023-03-12,2023-04-11,PRODUCT_READS_SYNC
RENEWAL_ORDERED,RENEWAL_OVERDUE,AWAITING_RENEWAL_PAYMENT,2023-02-12,2023-03-11,2023-03-11,2023-03-12,2023-04-11,CART_CHECKOUT_READS_SYNC
RENEWAL_PAYMENT_COMPLETED,AWAITING_RENEWAL_PAYMENT,ACTIVE,2023-02-12,2023-03-11,2023-03-11,,,ORDER_READS_SYNC
RENEWAL_PAYMENT_COMPLETED,AWAITING_RENEWAL_PAYMENT,ACTIVE,2023-02-12,2023-03-11,2023-03-11,,,PRODUCT_READS_SYNC
RENEWAL_PAYMENT_COMPLETED,AWAITING_RENEWAL_PAYMENT,ACTIVE,2023-02-12,2023-03-11,2023-03-11,,,CART_CHECKOUT_READS_SYNC
RENEWAL_PAYMENT_COMPLETED,AWAITING_RENEWAL_PAYMENT,ACTIVE,2023-02-12,2023-03-11,2023-03-11,,,SEND_COMMUNICATION
RENEWAL_APPLIED,ACTIVE,ACTIVE,2023-03-12,2023-04-11,2023-04-11,,,ORDER_READS_SYNC
RENEWAL_APPLIED,ACTIVE,ACTIVE,2023-03-12,2023-04-11,2023-04-11,,,PRODUCT_READS_SYNC
RENEWAL_APPLIED,ACTIVE,ACTIVE,2023-03-12,2023-04-11,2023-04-11,,,CART_CHECKOUT_READS_SYNC
RENEWAL_ORDERED,ACTIVE,ACTIVE,2023-03-12,2023-04-11,2023-04-11,,,PRODUCT_READS_SYNC
RENEWAL_ORDERED,ACTIVE,ACTIVE,2023-03-12,2023-04-11,2023-04-11,,,ORDER_READS_SYNC
RENEWAL_ORDERED,ACTIVE,ACTIVE,2023-03-12,2023-04-11,2023-04-11,,,CART_CHECKOUT_READS_SYNC
RENEWAL_PAYMENT_COMPLETED,ACTIVE,ACTIVE,2023-03-12,2023-04-11,2023-04-11,,,ORDER_READS_SYNC
RENEWAL_PAYMENT_COMPLETED,ACTIVE,ACTIVE,2023-03-12,2023-04-11,2023-04-11,,,PRODUCT_READS_SYNC
RENEWAL_PAYMENT_COMPLETED,ACTIVE,ACTIVE,2023-03-12,2023-04-11,2023-04-11,,,CART_CHECKOUT_READS_SYNC
RENEWAL_APPLIED,ACTIVE,ACTIVE,2023-04-12,2023-07-11,2023-07-11,,,ORDER_READS_SYNC
RENEWAL_APPLIED,ACTIVE,ACTIVE,2023-04-12,2023-07-11,2023-07-11,,,CART_CHECKOUT_READS_SYNC
RENEWAL_APPLIED,ACTIVE,ACTIVE,2023-04-12,2023-07-11,2023-07-11,,,PRODUCT_READS_SYNC
