id,entity_type,entity_id,from_state,to_state,event_id,tenure_start_date,tenure_end_date,tenure_in_months,renewal_overdue_cycle_start_date,renewal_overdue_cycle_end_date,effective_tenure_start,effective_tenure_end,entity_state,pickup_date,activation_date,delivery_address_id,city_id,pre_tax_amount,amount_paid,base_price,transition_created_at,event_name
635257,ITEM,96814,ACTIVE,ACTIVE,161803,2023-03-12,2023-04-11,1,null,null,2023-03-12,2023-04-11,ACTIVE,null,2022-12-12,636697,6,549,647.82,549,2023-03-13T19:25:27.914Z,RENEWAL_APPLIED
1504507,ITEM,96814,ACTIVE,ACTIVE,405883,2023-04-12,2023-07-11,3,null,null,2023-04-12,2023-07-11,ACTIVE,null,2022-12-12,636697,6,1152.9,1360.42,549,2023-04-12T00:31:08.838Z,RENEWAL_APPLIED
4219100,ITEM,96814,ACTIVE,ACTIVE,1202841,2023-07-12,2023-10-11,3,null,null,2023-07-12,2023-10-11,ACTIVE,null,2022-12-12,636697,6,1070.55,1263.25,549,2023-07-14T19:56:15.757Z,RENEWAL_APPLIED
8286903,ITEM,96814,PICKUP_TO_BE_SCHEDULED,RENEWAL_OVERDUE,2504292,2023-07-12,2023-10-11,3,2023-10-12,2023-11-11,2023-10-12,2023-11-11,RENEWAL_OVERDUE,null,2022-12-12,636697,6,1070.55,1263.25,549,2023-11-17T16:16:57.446Z,RETURN_PARTIAL_CANCELLATION
8287087,ITEM,96814,ACTIVE,ACTIVE,2504323,2023-11-12,2023-12-11,1,null,null,2023-11-12,2023-12-11,ACTIVE,null,2022-12-12,636697,6,466.65,550.65,549,2023-11-17T16:20:32.031Z,RENEWAL_APPLIED
11137810,ITEM,96814,ACTIVE,ACTIVE,3466664,2024-01-12,2024-04-11,3,null,null,2024-01-12,2024-04-11,ACTIVE,null,2022-12-12,636697,6,988.17,1166.05,549,2024-01-22T13:25:01.515Z,RENEWAL_APPLIED
15473861,ITEM,96814,ACTIVE,ACTIVE,4837036,2024-04-12,2024-07-11,3,null,null,2024-04-12,2024-07-11,ACTIVE,null,2022-12-12,636697,6,1152.9,1360.42,549,2024-04-21T11:59:18.481Z,RENEWAL_APPLIED
23045357,ITEM,96814,ACTIVE,ACTIVE,6490450,2024-07-12,2024-10-11,3,null,null,2024-07-12,2024-10-11,ACTIVE,null,2022-12-12,636697,6,1152.9,1360.42,549,2024-07-15T14:24:17.093Z,RENEWAL_APPLIED
32930724,ITEM,96814,ACTIVE,ACTIVE,8616798,2024-10-12,2025-01-11,3,null,null,2024-10-12,2025-01-11,ACTIVE,null,2022-12-12,636697,6,1152.9,1360.42,549,2024-10-14T11:33:18.247Z,RENEWAL_APPLIED
41111370,ITEM,96814,ACTIVE,RENEWAL_OVERDUE,11047712,2024-10-12,2025-01-11,3,2025-01-12,2025-02-11,2025-01-12,2025-02-11,RENEWAL_OVERDUE,null,2022-12-12,636697,6,1152.9,1360.42,549,2025-01-12T00:11:29.663Z,RENEWAL_OVERDUE
41244216,ITEM,96814,ACTIVE,ACTIVE,11094716,2025-01-12,2025-07-11,6,null,null,2025-01-12,2025-07-11,ACTIVE,null,2022-12-12,636697,6,1976.4,2332.16,549,2025-01-13T13:44:16.918Z,RENEWAL_APPLIED
60856580,ITEM,96814,ACTIVE,RENEWAL_OVERDUE,17524730,2025-01-12,2025-07-11,6,2025-07-12,2025-08-11,2025-07-12,2025-08-11,RENEWAL_OVERDUE,null,2022-12-12,636697,6,1976.4,2332.16,549,2025-07-12T00:14:59.347Z,RENEWAL_OVERDUE
63282130,ITEM,96814,ACTIVE,ACTIVE,18336097,2025-07-12,2025-08-11,1,null,null,2025-07-12,2025-08-11,ACTIVE,null,2022-12-12,636697,6,439.2,518.26,549,2025-07-31T22:29:18.963Z,RENEWAL_APPLIED
64881145,ITEM,96814,ACTIVE,RENEWAL_OVERDUE,18861895,2025-07-12,2025-08-11,1,2025-08-12,2025-09-11,2025-08-12,2025-09-11,RENEWAL_OVERDUE,null,2022-12-12,636697,6,439.2,518.26,549,2025-08-12T00:18:02.963Z,RENEWAL_OVERDUE
66996880,ITEM,96814,SETTLEMENT_IN_PROGRESS,RENEWAL_OVERDUE,19566649,2025-07-12,2025-08-11,1,2025-08-12,2025-09-11,2025-08-12,2025-09-11,RENEWAL_OVERDUE,null,2022-12-12,636697,6,439.2,518.26,549,2025-08-29T12:54:05.661Z,SETTLEMENT_PAYMENT_SUCCEEDED
66997752,ITEM,96814,ACTIVE,ACTIVE,19566900,2025-08-12,2025-11-11,3,null,null,2025-08-12,2025-11-11,ACTIVE,null,2022-12-12,636697,6,1152.9,1360.42,549,2025-08-29T12:59:05.611Z,RENEWAL_APPLIED
77714380,ITEM,96814,ACTIVE,RENEWAL_OVERDUE,23022200,2025-08-12,2025-11-11,3,2025-11-12,2025-12-11,2025-11-12,2025-12-11,RENEWAL_OVERDUE,null,2022-12-12,636697,6,1152.9,1360.42,549,2025-11-12T00:24:07.627Z,RENEWAL_OVERDUE
80030166,ITEM,96814,ACTIVE,ACTIVE,23797278,2025-11-12,2025-12-11,1,null,null,2025-11-12,2025-12-11,ACTIVE,null,2022-12-12,636697,6,439.2,518.26,549,2025-11-24T10:05:53.957Z,RENEWAL_APPLIED
82979422,ITEM,96814,ACTIVE,RENEWAL_OVERDUE,24748121,2025-11-12,2025-12-11,1,2025-12-12,2026-01-11,2025-12-12,2026-01-11,RENEWAL_OVERDUE,null,2022-12-12,636697,6,439.2,518.26,549,2025-12-12T00:25:37.696Z,RENEWAL_OVERDUE
